code,description
48292-7,Sodium salicylate LR-mCnc
48310-7,FLUAV Spec Ql Cult
48342-0,Alcohol.XXX SerPl-sCnc
48343-8,Hgb Other MFr Bld
48345-3,HIV 1+O+2 Ab SerPl Ql
48346-1,HIV 1+O+2 Ab SerPl-aCnc
48357-8,Testost Sal-sCnc
48386-7,Lg Platelets/Platelet NFr Bld Auto
48389-1,Macroprolactin/Prolactin SFr SerPl
48392-5,C immitis Ab Titr Fld CF
48395-8,Copro/Creat Ur-sRto
48398-2,HBV DNA SerPl NAA+probe-Log IU
48420-4,C3c Fld-mCnc
48425-3,Troponin T Bld-mCnc
48426-1,Troponin T Bld Ql
48494-9,C1INH Act/Nor SerPl
48496-4,CH50 Act/Nor SerPl
48509-4,FLUAV + FLUBV RNA Spec NAA+probe
48510-2,HIV1 RNA SerPl NAA DL=1.7-Log#
48511-0,HIV1 RNA # SerPl NAA DL=50
48548-2,Living with HIV (LIV-HIV) panel
48549-0,HIV-Signs and Symptoms Checklist (SSC) panel
48551-6,HIV1 RNA # SerPl NAA DL=400
48552-4,HIV1 RNA SerPl NAA DL=2.6-Log#
48558-1,HIV Gentyp Islt
48559-9,Deprecated HIV genotype Islt Genotyp
48574-8,HCV Gentyp Bld NAA+probe
48575-5,HCV Gentyp Spec NAA+probe
48576-3,HCV RNA Spec Ql Probe+sig amp
48584-7,NM ExG GE time p 100mg Na octanoate PO
48585-4,NM ExG GE time p 100mg Na acetate PO
48592-0,FSP Titr PPP LA
48598-7,BBS2 gene Mut Anl Bld/T
48599-5,CLCN1 gene Mut Anl Bld/T
48600-1,VPS13B gene Mut Anl Bld/T
48602-7,TGM1 gene Mut Anl Bld/T
48606-8,Glucose Pre fructose PO SerPl-mCnc
48615-9,Insulin.free & Insulin.total panel
48617-5,Phosphate p dialysis SerPl-mCnc
48618-3,VLDLc SerPl.Ultracent-mCnc
48619-1,Apo E1 Bld Ql
48620-9,Cholest SerPl.Ultracent-mCnc
48622-5,Urea nit 24h p PD Prt-mCnc
48623-3,Bilirub Direct BldCo-mCnc
48624-1,Bilirub BldCo-mCnc
48627-4,M Protein Ur-aCnc
48628-2,IGF BP3 Ur Ql
48629-0,BUN p dialysis BldV-mCnc
48631-6,HCO3 p dialysis Ser-sCnc
48635-7,LDLc A SerPl Ql
48636-5,LDLc BII SerPl Ql Elph
48637-3,LDLc BI SerPl Ql Elph
48639-9,BUN p dialysis BldP-mCnc
48641-5,Phosphate pre dial SerPl-mCnc
48650-6,HBV DNA # SerPl NAA DL=500
48659-7,Deprecated HBV preC codon 28 Ser PCR
48661-3,LPT 100 umol Be 5D Bld-Rto
48662-1,LPT PHA Bld-Rto
48664-7,Fibrinogen PPP Coag.derived-mCnc
48669-6,Albumin & Ig Quotient Ser+CSF-Imp
48677-9,Cancer Ag125 Tiss Ql ImStn
48683-7,Gp B Strep DNA Spec Ql NAA+probe
48703-3,Hct VFr Bld Est
48706-6,RMV Retic
48707-4,Hgb C Cry RBC Ql Micro
48710-8,Eosinophil Spec Ql Micro
48711-6,Hgb Free p transf rx Plas-mCnc
48724-9,Bacteria Bld Cult org #3
48725-6,Hgb pre therapeutic phlebotomy Bld-mCnc
48727-2,Bacteria Bld Cult org #2
48731-4,C4 SerPl Ql
48777-7,Kappa LC Free/Alb Ser+CSF
48788-4,Creat Cl DiafP+SerPl-vRate
48791-8,Urea nit Cl/1.73 sq M DiafP+SerPl-ArVRat
48796-7,Hepatitis C virus FibroSURE panel
48806-4,Salm+Shig+E coli ETEC Stl Cult
48810-6,Glucose 5h p 50 g Glu PO SerPl-mCnc
48814-8,vanA Islt/Spm Ql
48821-3,"t(12;21)(ETV6,RUNX1) Mar Ql"
48877-5,A phagocytoph IgG Titr Fld IF
48970-8,ELN gene Mut Anl Bld/T
48971-6,EYA1 gene Mut Anl Bld/T
48981-5,Anaplasma Spec Ql Micro
48984-9,Glucose 10M p Glc SerPl-mCnc
48985-6,Glucose 20M p Glc SerPl-mCnc
48986-4,Glucose 8 AM SerPl-mCnc
48988-0,Glucose 12 PM SerPl-mCnc
48989-8,Glucose 6 PM SerPl-mCnc
48990-6,Glucose 8 PM SerPl-mCnc
48991-4,Glucose 10 PM SerPl-mCnc
48992-2,Glucose 12 AM SerPl-mCnc
48993-0,Glucose 3 AM SerPl-mCnc
48994-8,Glucose 6 AM SerPl-mCnc
48996-3,Amylase P Fld-cCnc
48998-9,6PGD RBC-cCnt
49000-3,Hgb Free CSF Ql
49002-9,Albumin ?Tm Ur-mRate
49005-2,Calcium DiafP-sCnc
49006-0,Phosphate DiafP-sCnc
49007-8,Magnesium DiafP-sCnc
49012-8,FLUAV + FLUBV Spec Bioassay
49016-9,Streptococcus sp exoenzyme Ab Ser-aCnc
49023-5,Microalbumin ?Tm Ur-mRate
49026-8,LDL6 SerPl-mCnc
49027-6,LDL7 SerPl-mCnc
49029-2,Cortis F/Cortisone Free Ur
49039-1,Subtelomere analysis Bld/T FISH
49041-7,Testost SerPl DL<=1.0 ng/dL-mCnc
49042-5,Testost Free SerPl DL<=1.0 ng/dL-mCnc
49043-3,Testost Free MFr SerPl DL<=1.0 ng/dL
49045-8,PT & aPTT & Fibrinogen panel
49061-5,Hepatic iron index Liver-Rto
49071-4,BUN post/pre dialysis SerPl-mRto
49073-0,FLUAV IgG CSF-mCnc
49074-8,FLUAV IgA CSF-mCnc
49075-5,FLUAV IgM CSF-mCnc
49076-3,FLUBV IgA CSF-mCnc
49077-1,FLUBV IgG CSF-mCnc
49078-9,FLUBV IgM CSF-mCnc
49081-3,B2 Microglob Dial fld-mCnc
49110-0,Mycoplasma Ur Cult
49122-5,Anaplasma Spec Seq
49129-0,CK MiMi CFr SerPl
49130-8,HDLc SerPl Elph-mCnc
49131-6,Chylo MFr SerPl
49132-4,LDLc SerPl Elph-mCnc
49133-2,VLDLc SerPl Elph-mCnc
49134-0,Glucose 2h p Glc Bld-mCnc
49135-7,Fract excret Na Ur+SerPl-Rto
49136-5,CK MB SerPl-Rto
49137-3,Hgb Ur Strip-mCnc
49177-9,HBV surface IgG Ser Ql
49219-9,Galactose RBC-mCnc
49220-7,Prolactin SerPl 3rd IS-mCnc
49221-5,Catalase RBC-cCnt
49231-4,Cholinesterase RBC-cCnt
49243-9,ALP Isos SerPl-Imp
49251-2,Amylase Isos SerPl-Imp
49252-0,Stone Analysis-Imp
49255-3,Stone Analysis IR-Imp
49258-7,CK Isos SerPl Elph-Imp
49259-5,CK Isos SerPl-Imp
49264-5,Folate+Vit B12 SerBld-Imp
49266-0,G6PD Phenotyp RBC-Imp
49267-8,GR Phenotyp RBC-Imp
49270-2,BJ Protein Ur-Imp
49279-3,LDH Isos SerPl-Imp
49280-1,LP SerPl Elph-Imp
49281-9,LP SerPl-Imp
49299-1,Prot Pattern Ur Elph-Imp
49300-7,Prot Pattern Ur IFE-Imp
49301-5,Prot Pattern 24h Ur Elph-Imp
49308-0,ANCA Ab pattern Ser IF-Imp
49316-3,Hgb Fract Bld Elph-Imp
49317-1,Hgb Fract Bld-Imp
49322-1,Hgb Fract Bld HPLC-Imp
49323-9,Hgb Fract Bld Elph Citrate-Imp
49357-7,HBV DNA CSF NAA+probe-aCnc
49358-5,HBV DNA Mar NAA+probe-aCnc
49359-3,HBV DNA Mar NAA+probe-Log#
49360-1,HBV DNA Spec NAA+probe-aCnc
49361-9,HBV DNA Tiss NAA+probe-Log#
49362-7,HBV DNA # Spec NAA+probe
49363-5,HBV DNA # CSF NAA+probe
49364-3,HBV DNA # Mar NAA+probe
49365-0,HBV DNA # Tiss NAA+probe
49366-8,HBV DNA Spec NAA+probe-Log#
49367-6,HBV DNA CSF NAA+probe-Log#
49368-4,HBV DNA Tiss NAA+probe-aCnc
49369-2,HCV RNA # CSF NAA+probe
49370-0,HCV RNA # Mar NAA+probe
49371-8,HCV RNA # Tiss NAA+probe
49372-6,HCV RNA Spec NAA+probe-Log#
49373-4,HCV RNA CSF NAA+probe-Log#
49374-2,HCV RNA Mar NAA+probe-Log#
49375-9,HCV RNA Tiss NAA+probe-Log#
49376-7,HCV RNA Spec NAA+probe-aCnc
49377-5,HCV RNA CSF NAA+probe-aCnc
49378-3,HCV RNA Mar NAA+probe-aCnc
49379-1,HCV RNA Tiss NAA+probe-aCnc
49380-9,HCV RNA # Spec NAA+probe
49483-1,HIV1 SerPl IA-Imp
49484-9,Phe Bld Ql
49495-5,HBV surface Ab S SerPl
49500-2,Calcium Oxalate Dihydrate MFr Stone IR
49501-0,COM MFr Stone IR
49502-8,G6PD Bld Qn
49503-6,p-ANCA atypical Titr Ser IF
49518-4,Deprecated FLUV Ab Titr Ser
49519-2,FLUAV H16 Ab Titr Ser HAI
49520-0,FLUAV H1 RNA Islt Ql NAA+probe
49521-8,FLUAV H1 RNA Spec Ql NAA+probe
49522-6,FLUAV H3 Ag Islt Ql IF
49523-4,FLUAV H3 RNA Islt Ql NAA+probe
49524-2,FLUAV H3 RNA Spec Ql NAA+probe
49525-9,FLUAV H5 Ab Ser Ql
49526-7,FLUAV H5 RNA Islt Ql NAA+probe
49527-5,FLUAV H7 RNA Islt Ql NAA+probe
49528-3,FLUAV H9 RNA Spec Ql NAA+probe
49529-1,FLUAV Ag Islt Ql IF
49530-9,Deprecated FLUAV NA cDNA Islt Ql Amp/Seq
49531-7,FLUAV RNA Islt Ql NAA+probe
49532-5,FLUAV HA RNA Islt Seq
49533-3,FLUBV Ab Ser Ql IA
49534-1,FLUBV Ag Islt Ql IF
49535-8,FLUBV RNA Islt Ql NAA+probe
49536-6,FLUBV RNA Islt Seq
49537-4,FLUAV + FLUBV RNA Islt NAA+probe
49538-2,FLUV Spec Shell Vial Cult
49551-5,CK MB Bld-mCnc
49563-0,Troponin I SerPl DL<=0.01 ng/mL-mCnc
49573-9,HIV Gentyp Islt Nar
49580-4,HIV1+2 Ab Spec Ql IA.rapid
49596-0,URO-D RBC-aCnc
49600-0,HBV DNA Spec NAA+probe-Log IU
49601-8,HBV DNA CSF NAA+probe-Log IU
49602-6,HBV DNA Mar NAA+probe-Log IU
49603-4,HCV RNA CSF NAA+probe-Log IU
49604-2,HCV RNA Mar NAA+probe-Log IU
49605-9,HCV RNA Spec NAA+probe-Log IU
49606-7,HBV DNA Tiss NAA+probe-Log IU
49607-5,HCV Gentyp Tiss NAA+probe
49608-3,HCV RNA Tiss NAA+probe-Log IU
49610-9,S pyo DNA Spec NAA+probe
49624-0,VLDL1+2c SerPl-mCnc
49628-1,Remnant lipoprotein SerPl-mCnc
49633-1,Ethanolamine Ur Ql
49656-2,HIV protease gene mutations
49657-0,HIV nonnucleoside reverse transcriptase susceptibility panel
49658-8,HIV nucleoside reverse transcriptase susceptibility panel
49659-6,HIV reverse transcriptase susceptibility panel
49660-4,HIV susceptibility panel
49661-2,HIV protease gene mutations
49662-0,HIV nonnucleoside reverse transcriptase susceptibility panel
49663-8,HIV nucleoside reverse transcriptase susceptibility panel
49664-6,HIV reverse transcriptase susceptibility panel
49665-3,HIV susceptibility panel
49672-9,S pneum DNA Spec Ql NAA+probe
49673-7,LPT 100 umol Be 7D Bld-Rto
49674-5,LPT 10 umol Be 5D Bld-Rto
49675-2,LPT 10 umol Be 7D Bld-aCnc
49676-0,LPT 1 umol Be 5D Bld-Rto
49677-8,LPT 1 umol Be 7D Bld-Rto
49682-8,LPT PHA 3D Bld-Rto
49688-5,GTT p 75 g Glc PO SerPl-Imp
49689-3,GTT p 100 g Glc PO SerPl-Imp
49693-5,HEV IgG Ser Ql IA
49698-4,pH temp adj BldCoA
49699-2,pH temp adj BldCoV
49701-6,pH temp adj Bld
49711-5,Listeria Ab Titr Ser CF
49713-1,HPIV Ab Titr Ser CF
49718-0,HIV1 p24 Ag CSF Ql
49727-1,Hcys CSF-sCnc
49748-7,HDL SerPl-sCnc
49758-6,HCV RNA SerPl NAA DL=5-aCnc
49763-6,Bilirub Pcar-mCnc
49764-4,Calcium Amn-mCnc
49765-1,Calcium Bld-mCnc
49775-0,HDV IgG Ser IA-aCnc
49776-8,HEV Ab Ser IA-aCnc
49777-6,HGV Ab Ser-aCnc
49788-3,Potassium Amn-sCnc
49789-1,Potassium Prt-sCnc
49790-9,Sodium Prt-sCnc
49791-7,Sodium Amn-sCnc
49793-3,"t(14;18)(IGH,BCL2) Major Mar Ql"
49794-1,"t(14;18)(IGH,BCL2) Minor Mar Ql"
49796-6,"t(ABL1,BCR)p210 # Bld/T"
49797-4,"t(ABL1,BCR)p210 Mar Ql"
49837-8,DMPE MFr Amn
49839-4,Eosinophil UrnS Ql Wright Stn
49846-9,HCV core Ag Bld/Mar Donr Ql
49850-1,IGF-I BS SerPl-mCnc
49862-6,G6PC gene Mut Anl Bld/T
49874-1,ABCB4 gene Mut Anl Bld/T
49877-4,HBV 173 Islt Genotyp
49878-2,HBV 180 Islt Genotyp
49879-0,HBV 181 Islt Genotyp
49880-8,HBV 204 Islt Genotyp
49881-6,HBV 236 Islt Genotyp
49882-4,HBV 80 Islt Genotyp
49883-2,Hepatitis B virus resistance panel
49884-0,LPT TT 7D Bld-Rto
49885-7,Lymphocyte proliferation.beryllium stimulation panel
49890-7,HIV1 RNA Spec NAA+probe-Log#
49897-2,Insulin pre chal SerPl-aCnc
49905-3,HIV1 Ab Spec Ql IA.rapid
49917-8,LPT 10 umol Be 6D WBC-Rto
49921-0,LPT CA Bld-nRate
49922-8,LPT PHA Bld-nRate
49923-6,LPT PW Bld-nRate
49924-4,ALP macro CFr SerPl
49925-1,G6PD RBC Glock & McLean-cCnt
49926-9,G6PD RBC WHO method-cCnt
49927-7,Amylase Fld/SerPl
49930-1,LDH Plr/SerPl
49935-0,Ca-I Album cor MFr SerPl
49936-8,Ca-I Album cor MFr Bld
49937-6,Calcium/Oxalate Ur-sRto
49939-2,Dodecenedioate/Creat Ur-sRto
49965-7,Deprecated HIV1 Ab/HIV 2 Ab Ser IB-Rto
49968-1,Cortis 1h p 250 ug ACTH IM SerPl-SCDiff
49969-9,Cortis 30M p 250 ug ACTH IM SerPl-SCDiff
50017-3,Hgb Sput/Gast gastro Ql
50022-3,Alcohol.XXX SerPlBld Ql
50023-1,Hepatitis C virus RNA panel
50032-2,China aster IgE Qn
50039-7,5Me-tetrahydrofolate/Folate SFr SerPl
50041-3,Bilirub+Urobilinogen Ur Ql
50054-6,Hemicystine/Creat Ur-sRto
50057-9,Fract excret PO4 ?Tm Ur+SerPl-Rto
50058-7,Phosphate Cl ?Tm Ur+SerPl-vRate
50059-5,Oligoclonal Bands MFr Ur Elph
50061-1,Tdecanedioate/Creat Ur-sRto
50062-9,Tdecenedioate/Creat Ur-sRto
5007-0,HBV DNA Bld Ql NAA+probe
5008-8,HBV DNA Tiss Ql NAA+probe
5009-6,HBV DNA Spec Ql NAA+probe
5010-4,HCV RNA Bld Ql NAA+probe
5011-2,HCV RNA Tiss Ql NAA+probe
5012-0,HCV RNA Spec Ql NAA+probe
5017-9,HIV1 RNA Bld Ql NAA+probe
50176-7,A2 Macroglob MFr SerPl
50178-3,LPT 100 umol Be 6D Bld-Rto
50179-1,Calcitonin Calcium & Pentagastrin challenge panel
5018-7,HIV1 RNA Spec Ql NAA+probe
50180-9,Calcit 10M p CPG IV SerPl-mCnc
50181-7,Calcit 5M p CPG IV SerPl-mCnc
50182-5,Calcit 2M p CPG IV SerPl-mCnc
50183-3,Calcit 1M p CPG IV SerPl-mCnc
50184-1,Calcit pre CPG IV SerPl-mCnc
50187-4,Art-mixed ven O2 sat diff %
50188-2,Art-ven O2 sat diff %
50189-0,Neonatal bilirubin panel
50190-8,Iron & Iron binding capacity panel
50191-6,Occult blood panel
50192-4,VLDL1+2+3c SerPl-mCnc
50193-2,LDLc ND SerPl-mCnc
50194-0,IDLc+VLDL3c SerPl-mCnc
50196-5,Occult blood panel
50198-1,Iron sp1 SerPl-mCnc
50199-9,Iron sp2 SerPl-mCnc
50200-5,Iron sp3 SerPl-mCnc
50201-3,Iron sp4 SerPl-mCnc
50202-1,Iron sp5 SerPl-mCnc
50203-9,Iron sp6 SerPl-mCnc
50204-7,Iron sp7 SerPl-mCnc
50205-4,Iron sp8 SerPl-mCnc
50206-2,Glucose sp1 SerPl-mCnc
50207-0,Glucose sp7 SerPl-mCnc
50208-8,Glucose sp10 SerPl-mCnc
50209-6,Albumin sup ?Tm Ur-mRate
50210-4,GFR/BSA.pred SerPlBld Cys-based-ArV
50212-0,Glucose sp2 SerPl-mCnc
50213-8,Glucose sp3 SerPl-mCnc
50214-6,Glucose sp4 SerPl-mCnc
50215-3,Glucose sp5 SerPl-mCnc
50216-1,Glucose sp6 SerPl-mCnc
50217-9,Glucose sp8 SerPl-mCnc
50218-7,Glucose sp9 SerPl-mCnc
50219-5,Respiratory pathogens DNA & RNA 12a panel
50223-7,Cholest Cry Ur Ql Comp Assist
50236-9,Amorph Phos Cry Ur Ql Comp Assist
50262-5,Reticulocytes panel
50330-0,SLC6A4 gene Mut Anl Bld/T
50336-7,B-cortolone/Cortis Ur
50339-1,Deprecated Cholest Bld-mCnc
5034-4,Gp B Strep rRNA Spec Ql Probe
50340-9,Eosinophil Nose Ql Hansel Stn
50341-7,Eosinophil Spt Ql Hansel Stn
50343-3,Ethanol Sal Ql Scn
5035-1,S pneum rRNA Spec Ql Probe
5036-9,S pyo rRNA Spec Ql Probe
50366-4,Prolactin.monomeric/Total MFr SerPl
50373-0,Eosinophil band NFr Mar Manual
50374-8,Myelocytes.eos NFr Mar Manual
50382-1,GR RBC-cCnt
50408-4,Abn Prot MFr Ur Elph
50409-2,HDL2+3c SerPl-mCnc
5041-9,HAdV Ab Titr Ser CF
50415-9,Cortis pre 2 mg Dex SerPl-mCnc
50416-7,Cortis p 2 mg Dex SerPl-mCnc
50421-7,Cortis pre 100 ug CRH IV SerPl-mCnc
50422-5,Cortis 20M p 100 ug CRH IV SerPl-mCnc
50423-3,Cortis 40M p 100 ug CRH IV SerPl-mCnc
50424-1,Cortis 1h p 100 ug CRH IV SerPl-mCnc
50429-0,Cortis 9 AM SerPl-mCnc
50430-8,Cortis 3 PM SerPl-mCnc
50431-6,Cortis 6 PM SerPl-mCnc
50432-4,Cortis 9 PM SerPl-mCnc
50433-2,Cortis 3 AM SerPl-mCnc
50434-0,Cortis 6 AM SerPl-mCnc
50441-5,Cortis 30M pre Ins IV SerPl-mCnc
50442-3,Cortis 20M p Ins IV SerPl-mCnc
50453-0,Cortis sp1 SerPl-mCnc
50454-8,Cortis sp2 SerPl-mCnc
50455-5,Cortis sp3 SerPl-mCnc
50456-3,Cortis sp4 SerPl-mCnc
50457-1,Cortis sp5 SerPl-mCnc
50458-9,Cortis sp6 SerPl-mCnc
50459-7,Cortis sp7 SerPl-mCnc
50460-5,Cortis sp8 SerPl-mCnc
50461-3,C peptide sp1 SerPl-sCnc
50462-1,C peptide sp2 SerPl-sCnc
50463-9,C peptide sp3 SerPl-sCnc
50464-7,C peptide sp4 SerPl-sCnc
50465-4,C peptide sp5 SerPl-sCnc
50466-2,C peptide sp6 SerPl-sCnc
50467-0,C peptide sp7 SerPl-sCnc
50468-8,C peptide sp8 SerPl-sCnc
50501-6,Insulin sp1 SerPl-aCnc
50502-4,Insulin sp2 SerPl-aCnc
50503-2,Insulin sp3 SerPl-aCnc
50504-0,Insulin sp4 SerPl-aCnc
50505-7,Insulin sp5 SerPl-aCnc
50506-5,Insulin sp6 SerPl-aCnc
50507-3,Insulin sp7 SerPl-aCnc
50508-1,Insulin sp8 SerPl-aCnc
50517-2,Prolactin sp1 SerPl-mCnc
50518-0,Prolactin sp2 SerPl-mCnc
50519-8,Prolactin sp3 SerPl-mCnc
50520-6,Prolactin sp4 SerPl-mCnc
50521-4,Prolactin sp5 SerPl-mCnc
50522-2,Prolactin sp6 SerPl-mCnc
50523-0,Prolactin sp7 SerPl-mCnc
50524-8,Prolactin sp8 SerPl-mCnc
5053-4,Aspergillus Ab Titr Ser CF
50551-1,Bilirub Ur Ql Strip.auto
50554-5,Urinalysis microscopic panel
50555-2,Glucose Ur Ql Strip.auto
50556-0,Urinalysis dipstick panel
50559-4,Hgb Ur Strip.auto-mCnc
50561-0,Prot Ur Strip.auto-mCnc
50564-4,Urinalysis panel
5057-5,B dermat Ab Titr Ser CF
50582-6,Glucose tolerance gestational panel
50583-4,Glucose screen gestational panel
50586-7,Glucose tolerance 3H panel
50587-5,Glucose tolerance 4H panel
50588-3,Glucose tolerance 5H panel
50589-1,Glucose tolerance 6H panel
50596-6,HPA-1a Bld
50597-4,HPA-2 Bld
50598-2,HPA-15 Bld
50599-0,HPA-1 Bld
50600-6,HPA-3 Bld
50601-4,HPA-4 Bld
50602-2,HPA-5 Bld
50603-0,HPA-6 Bld
50604-8,HPA panel
50608-9,Glucose tolerance 3H gestational panel
50624-6,HIV 1 RNA panel
50630-3,Gentamicin Islt SlowMyco
50645-1,THF/Creat Ur
50658-4,Basophils band NFr Mar
50659-2,Chrom analy interphase Mar FISH-Imp
50666-7,NMP22 Ur Ql
50667-5,GTT SerPl-Imp
50673-3,Insulin XXX challenge panel
50675-8,CaxP SerPl-MCncSq
50676-6,Calcium-phosphorus product panel
50684-0,Chrom analy interphase Bld FISH-Imp
50688-1,Plasmodium LDH Bld
50692-3,HPIV1+2+3 Ab Titr Ser CF
50693-1,FLUAV+FLUBV Ab Titr Ser CF
50696-4,FLUAV NAb Ser Nt
50697-2,FLUAV Ag Islt
50698-0,FLUAV ADM resis Islt Ql Phenotyp
50699-8,FLUAV ADM resis Islt Ql
50700-4,FLUAV ADM resis RNA Islt Ql NAA+probe
50701-2,FLUAV H1 Ag Islt Ql IF
50702-0,FLUAV MP RNA Islt Ql Seq
50703-8,FLUAV NI resis Islt Ql Phenotyp
50704-6,FLUAV NP RNA Islt Ql Seq
50705-3,FLUAV NS RNA Islt Ql Seq
50706-1,FLUAV PA RNA Islt Ql Seq
50707-9,FLUAV PB1 cDNA Islt Ql Seq
50708-7,FLUAV PB2 RNA Islt Ql Seq
50709-5,FLUBV Ab Titr Ser HAI
50710-3,Influenza virus susceptibility panel
50711-1,FLUAV polymerase RNA Islt Seq
50712-9,FLUV NI resist Islt Ql
50713-7,FLUV NI resist Islt Genotyp
50749-1,Prot Ur-Imp
50751-7,Glucose 15M p 0.1 U/kg Ins SerPl-mCnc
50752-5,Cortis 15M p Ins IV SerPl-mCnc
50753-3,GH 15M p Ins IV SerPl-mCnc
50756-6,CK Bld-mCnc
50757-4,CK/CK MB Bld-cRto
50765-7,Hgb Hashar MFr Bld Elph
50773-1,ABO + Rh p transf rx Bld NB
50775-6,Cancer Ag125 CSF-aCnc
50779-8,Cancer Ag19-9 CSF-aCnc
50780-6,Cancer Ag19-9 Pcar-aCnc
50781-4,Cancer Ag19-9 Prt-aCnc
5079-9,C psittaci Ab Titr Ser CF
50790-5,HIV1 RNA tropism Islt
50791-3,Hgb Fract Bld Elph pH6.0-Imp
50792-1,M Protein 3 MFr SerPl Elph
50793-9,M Protein 4 MFr SerPl Elph
50811-9,Antimony RBC-sCnc
50812-7,Arsenic RBC-sCnc
50824-2,B2 Microglob 24h Ur-sCnc
5083-1,Chlamydia Ab Titr Ser CF
50832-5,Boron/Creat Ur-sRto
50834-1,Cadmium RBC-sCnc
50836-6,Calcium Hair-sCnt
50837-4,Ca-I Fld-sCnc
50838-2,Ca-I adj pH7.4 Fld-sCnc
50839-0,Calcium/Creat 24h Ur-sRto
50840-8,HDLc Fld-sCnc
50841-6,Cr RBC-sCnc
50847-3,Cobalt RBC-sCnc
50848-1,Cortis 24h Ur-sCnc
50867-1,Insulin Fld-sCnc
50869-7,Iron Hair-sCnt
5087-2,C trach Ab Titr Ser CF
50872-1,Lithium Hair-sCnt
50873-9,Magnesium/Creat 24h Ur-sRto
50875-4,Manganese RBC-sCnc
50887-9,Nickel RBC-sCnc
50898-6,Phosphate Hair-sCnt
50902-6,Potassium Hair-sCnt
50911-7,Sodium Gast-sCnc
50912-5,Sodium Hair-sCnt
50938-0,Vancomycin Fld-sCnc
50949-7,Albumin Ur Ql Strip
5096-3,C immitis Ab Titr Ser CF
50967-9,HBV surface Ag Bld Donr Ql Nt
50980-2,pH temp adj BldMV
50994-3,CMT1 gene Mut Anl Bld/T
50997-6,C8 functional SerPl-aCnc
5100-3,C burnet Ab Titr Ser CF
51002-4,Lipoprotein midband A SerPl-mCnc
51003-2,Lipoprotein midband B SerPl-mCnc
51004-0,Lipoprotein midband C SerPl-mCnc
51005-7,Testosterone.free+WB SerPl HS-mCnc
51006-5,DAT RBC Ql
5104-5,CV B1 Ab Titr Ser CF
5106-0,CV B2 Ab Titr Ser CF
5108-6,CV B3 Ab Titr Ser CF
5110-2,CV B4 Ab Titr Ser CF
5112-8,CV B5 Ab Titr Ser CF
5114-4,CV B6 Ab Titr Ser CF
51190-7,Albumin 24h Ur Elph-mCnc
51196-4,Hgb A1 MFr Bld Elph
51197-2,Iron Fld-mCnc
51205-3,Sodium Hair-mCnt
51213-7,Acetamin Cry #/area UrnS HPF
5128-4,ANCA Ab Ser-aCnc
51300-2,CD3+CD4+ Cells NFr Tiss
5137-5,ECV1 Ab Titr Ser CF
5139-1,ECV19 Ab Titr Ser CF
51406-7,BJ Protein Free 24h Ur-mRate
51407-5,S pneum CPS IgG Ser IA-mCnc
51408-3,S pneum CPS IgG2 Ser IA-mCnc
5141-7,ECV3 Ab Titr Ser CF
51419-0,Sodium Glucose cor SerPl-sCnc
51421-6,Testost pre/p chal SerPl-sCnc
51424-0,Cortis pre/p chal SerPl-sCnc
51427-3,Insulin pre/p chal SerPl-sCnc
51428-1,Lactate pre/p chal SerPl-sCnc
5143-3,ECV4 Ab Titr Ser CF
51432-3,Prolactin pre/p chal SerPl-mCnc
51436-4,M Protein 24h Ur Elph-mCnc
51437-2,M Protein 2 Ur Elph-mCnc
51438-0,M Protein 2 24h Ur Elph-mCnc
51439-8,M Protein 3 24h Ur Elph-mCnc
51440-6,M Protein 3 Ur Elph-mCnc
51441-4,Macroprolactin/Prolactin MFr SerPl
5145-8,ECV6 Ab Titr Ser CF
51458-8,HDV IgG Ser-aCnc
51459-6,HEV Ab Ser-aCnc
51460-4,FLUAV H16 Ab Titr Ser
5147-4,ECV9 Ab Titr Ser CF
51472-9,S pneum CPS IgG Ser-mCnc
51473-7,S pneum CPS IgG2 Ser-mCnc
51488-5,Cortis sp6 p chal Sal-mCnc
51489-3,Cortis sp7 p chal Sal-mCnc
5149-0,ECV Ab Titr Ser CF
51490-1,Cortis sp5 p chal Sal-mCnc
51491-9,Cortis sp4 p chal Sal-mCnc
51492-7,Cortis sp3 p chal Sal-mCnc
51493-5,Cortis sp2 p chal Sal-mCnc
51494-3,Cortis sp1 p chal Sal-mCnc
51495-0,Cortis BS Sal-mCnc
51496-8,Estradiol sp4 p chal SerPl-mCnc
51497-6,Estradiol sp5 p chal SerPl-mCnc
51498-4,Estradiol sp3 p chal SerPl-mCnc
51499-2,Estradiol sp1 p chal SerPl-mCnc
51500-7,Estradiol sp7 p chal SerPl-mCnc
51501-5,Estradiol sp2 p chal SerPl-mCnc
51502-3,Estradiol sp6 p chal SerPl-mCnc
51505-6,CK BB CSF Elph-cCnc
51506-4,CK MB CSF Elph-cCnc
51507-2,CK MM CSF Elph-cCnc
51508-0,LDH1 CFr Plr Elph
51509-8,LDH1 CFr Prt Elph
51510-6,LDH1 CFr CSF Elph
51511-4,LDH2 CFr CSF Elph
51512-2,LDH2 CFr Plr Elph
51513-0,LDH2 CFr Prt Elph
51514-8,LDH3 CFr Plr Elph
51515-5,LDH3 CFr Prt Elph
51516-3,LDH3 CFr CSF Elph
51517-1,LDH4 CFr Prt Elph
51518-9,LDH4 CFr Plr Elph
51519-7,LDH4 CFr CSF Elph
51520-5,LDH5 CFr Prt Elph
