code,generic_name,brand_name,dosage_form
0220-4311,RADIUM BROMIDE,Radium bromatum,PELLET
0220-4314,RANUNCULUS BULBOSUS,Ranunculus bulbosus,PELLET
0220-4317,RANUNCULUS BULBOSUS,Ranunculus bulbosus,PELLET
0220-4318,RANUNCULUS BULBOSUS,Ranunculus bulbosus,PELLET
0220-4319,RANUNCULUS BULBOSUS,Ranunculus bulbosus,PELLET
0220-4322,RANUNCULUS BULBOSUS,Ranunculus bulbosus,PELLET
0220-4323,RANUNCULUS BULBOSUS,Ranunculus bulbosus,PELLET
0220-4327,RADISH,RAPHANUS SATIVUS,PELLET
0220-4330,RADISH,Raphanus sativus,PELLET
0220-4333,RADISH,Raphanus sativus,PELLET
0220-4334,RADISH,Raphanus sativus,PELLET
0220-4335,RADISH,Raphanus sativus,PELLET
0220-4337,KRAMERIA LAPPACEA ROOT,Ratanhia,PELLET
0220-4338,KRAMERIA LAPPACEA ROOT,Ratanhia,PELLET
0220-4339,KRAMERIA LAPPACEA ROOT,Ratanhia,PELLET
0220-4369,RHEUM OFFICINALE ROOT,Rheum officinale,PELLET
0220-4370,RHEUM OFFICINALE ROOT,RHEUM OFFICINALE,PELLET
0220-4377,RHODODENDRON AUREUM LEAF,Rhododendron chrysanthum,PELLET
0220-4378,RHODODENDRON AUREUM LEAF,Rhododendron chrysanthum,PELLET
0220-4379,RHODODENDRON AUREUM LEAF,Rhododendron chrysanthum,PELLET
0220-4382,RHODODENDRON AUREUM LEAF,Rhododendron chrysanthum,PELLET
0220-4386,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4387,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4390,TOXICODENDRON VERNIX LEAFY TWIG,RHUS VENENATA,PELLET
0220-4393,TOXICODENDRON PUBESCENS LEAF,Rhus toxicodendron,PELLET
0220-4395,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4396,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4397,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4398,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4399,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4400,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4401,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4403,TOXICODENDRON VERNIX LEAFY TWIG,Rhus venenata,PELLET
0220-4404,TOXICODENDRON VERNIX LEAFY TWIG,Rhus venenata,PELLET
0220-4407,RICINUS COMMUNIS SEED,Ricinus communis,PELLET
0220-4411,ROBINIA PSEUDOACACIA BARK,Robinia pseudoacacia,PELLET
0220-4412,RICINUS COMMUNIS SEED,RICINUS COMMUNIS,PELLET
0220-4416,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4417,TOXICODENDRON PUBESCENS LEAF,Rhus tox,PELLET
0220-4420,RICINUS COMMUNIS SEED,Ricinus communis,PELLET
0220-4421,RICINUS COMMUNIS SEED,Ricinus communis,PELLET
0220-4435,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4443,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4448,ROBINIA PSEUDOACACIA BARK,Robinia pseudoacacia,PELLET
0220-4449,ROBINIA PSEUDOACACIA BARK,Robinia pseudoacacia,PELLET
0220-4450,ROBINIA PSEUDOACACIA BARK,Robinia pseudoacacia,PELLET
0220-4451,ROBINIA PSEUDOACACIA BARK,Robinia pseudoacacia,PELLET
0220-4452,ROBINIA PSEUDOACACIA BARK,Robinia pseudoacacia,PELLET
0220-4454,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4455,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4456,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4457,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4458,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4459,RUMEX CRISPUS ROOT,Rumex crispus,PELLET
0220-4462,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4463,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4464,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4465,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4466,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4467,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4468,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4469,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4470,RUTA GRAVEOLENS FLOWERING TOP,Ruta graveolens,PELLET
0220-4474,"LACTIC ACID, L-",SARCOLACTICUM ACIDUM,PELLET
0220-4475,"LACTIC ACID, L-",SARCOLACTICUM ACIDUM,PELLET
0220-4476,"LACTIC ACID, L-",SARCOLACTICUM ACIDUM,PELLET
0220-4477,"LACTIC ACID, L-",SARCOLACTICUM ACIDUM,PELLET
0220-4478,"LACTIC ACID, L-",SARCOLACTICUM ACIDUM,PELLET
0220-4481,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4482,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4483,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4484,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4485,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4486,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4487,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4492,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4493,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4494,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4495,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4496,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4497,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4498,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4499,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4502,SCHOENOCAULON OFFICINALE SEED,Sabadilla,PELLET
0220-4503,SAW PALMETTO,Sabal serrulata,PELLET
0220-4506,SAW PALMETTO,Sabal serrualata,PELLET
0220-4507,SAW PALMETTO,Sabal serrulata,PELLET
0220-4508,SAW PALMETTO,Sabal serrulata,PELLET
0220-4510,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4511,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4512,SALICYLIC ACID,SALICYLICUM ACIDUM,PELLET
0220-4515,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4516,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4519,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4520,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4522,SUCROSE,Saccharum officinale,PELLET
0220-4523,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4524,JUNIPERUS SABINA LEAFY TWIG,Sabina,PELLET
0220-4526,SALICYLIC ACID,Salicylicum acidum,PELLET
0220-4528,SALICYLIC ACID,Salicylicum acidum,PELLET
0220-4531,SUCROSE,Saccharum officinale,PELLET
0220-4532,SUCROSE,Saccharum officinale,PELLET
0220-4535,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4536,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4539,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4540,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
